"","Item","Suport","Confidence"
"6955","{bottled water,canned beer,whole milk}","21","0.00835655"
"6956","{bottled water,canned beer,whole milk,yogurt}","8","0.00318345"
"6957","{bottled water,canned beer,yogurt}","18","0.00716275"
"6958","{bottled water,canned fish}","16","0.00636689"
"6959","{bottled water,canned fish,fruit/vegetable juice}","5","0.00198965"
"6960","{bottled water,canned fish,other vegetables}","7","0.00278552"
"6961","{bottled water,canned fish,root vegetables}","6","0.00238758"
"6962","{bottled water,canned fish,sausage}","5","0.00198965"
"6963","{bottled water,canned fish,tropical fruit}","6","0.00238758"
"6964","{bottled water,canned fish,whole milk}","5","0.00198965"
"6965","{bottled water,canned fruit}","5","0.00198965"
"6966","{bottled water,canned vegetables}","10","0.00397931"
"6967","{bottled water,canned vegetables,other vegetables}","6","0.00238758"
"6968","{bottled water,canned vegetables,yogurt}","5","0.00198965"
"6969","{bottled water,cat food}","44","0.017509"
"6970","{bottled water,cat food,chocolate}","8","0.00318345"
"6971","{bottled water,cat food,chocolate,citrus fruit}","5","0.00198965"
"6972","{bottled water,cat food,chocolate,citrus fruit,yogurt}","5","0.00198965"
"6973","{bottled water,cat food,chocolate,yogurt}","7","0.00278552"
"6974","{bottled water,cat food,citrus fruit}","10","0.00397931"
"6975","{bottled water,cat food,citrus fruit,yogurt}","6","0.00238758"
"6976","{bottled water,cat food,coffee}","9","0.00358138"
"6977","{bottled water,cat food,curd}","5","0.00198965"
"6978","{bottled water,cat food,domestic eggs}","9","0.00358138"
"6979","{bottled water,cat food,domestic eggs,napkins}","5","0.00198965"
"6980","{bottled water,cat food,fruit/vegetable juice}","6","0.00238758"
"6981","{bottled water,cat food,grapes}","5","0.00198965"
"6982","{bottled water,cat food,hygiene articles}","5","0.00198965"
"6983","{bottled water,cat food,margarine}","8","0.00318345"
"6984","{bottled water,cat food,napkins}","12","0.00477517"
"6985","{bottled water,cat food,napkins,whole milk}","5","0.00198965"
"6986","{bottled water,cat food,napkins,yogurt}","7","0.00278552"
"6987","{bottled water,cat food,other vegetables}","14","0.00557103"
"6988","{bottled water,cat food,other vegetables,rolls/buns}","5","0.00198965"
"6989","{bottled water,cat food,other vegetables,whole milk}","5","0.00198965"
"6990","{bottled water,cat food,other vegetables,yogurt}","7","0.00278552"
"6991","{bottled water,cat food,pastry}","7","0.00278552"
"6992","{bottled water,cat food,pastry,yogurt}","5","0.00198965"
"6993","{bottled water,cat food,pip fruit}","6","0.00238758"
"6994","{bottled water,cat food,rolls/buns}","10","0.00397931"
"6995","{bottled water,cat food,rolls/buns,whole milk}","6","0.00238758"
"6996","{bottled water,cat food,root vegetables}","8","0.00318345"
"6997","{bottled water,cat food,sausage}","8","0.00318345"
"6998","{bottled water,cat food,shopping bags}","9","0.00358138"
"6999","{bottled water,cat food,soda}","12","0.00477517"
"7000","{bottled water,cat food,specialty chocolate}","5","0.00198965"
"7001","{bottled water,cat food,tropical fruit}","14","0.00557103"
"7002","{bottled water,cat food,tropical fruit,whole milk}","8","0.00318345"
"7003","{bottled water,cat food,tropical fruit,yogurt}","8","0.00318345"
"7004","{bottled water,cat food,whipped/sour cream}","5","0.00198965"
"7005","{bottled water,cat food,white bread}","5","0.00198965"
"7006","{bottled water,cat food,whole milk}","16","0.00636689"
"7007","{bottled water,cat food,whole milk,yogurt}","5","0.00198965"
"7008","{bottled water,cat food,yogurt}","16","0.00636689"
"7009","{bottled water,cereals}","5","0.00198965"
"7010","{bottled water,cereals,whole milk}","5","0.00198965"
"7011","{bottled water,chewing gum}","27","0.0107441"
"7012","{bottled water,chewing gum,napkins}","5","0.00198965"
"7013","{bottled water,chewing gum,other vegetables}","5","0.00198965"
"7014","{bottled water,chewing gum,shopping bags}","6","0.00238758"
"7015","{bottled water,chewing gum,soda}","12","0.00477517"
"7016","{bottled water,chewing gum,whole milk}","6","0.00238758"
"7017","{bottled water,chicken}","52","0.0206924"
"7018","{bottled water,chicken,chocolate}","5","0.00198965"
"7019","{bottled water,chicken,citrus fruit}","9","0.00358138"
"7020","{bottled water,chicken,citrus fruit,domestic eggs}","5","0.00198965"
"7021","{bottled water,chicken,dessert}","5","0.00198965"
"7022","{bottled water,chicken,domestic eggs}","12","0.00477517"
"7023","{bottled water,chicken,domestic eggs,other vegetables}","8","0.00318345"
"7024","{bottled water,chicken,domestic eggs,other vegetables,rolls/buns}","5","0.00198965"
"7025","{bottled water,chicken,domestic eggs,rolls/buns}","6","0.00238758"
"7026","{bottled water,chicken,domestic eggs,root vegetables}","5","0.00198965"
"7027","{bottled water,chicken,domestic eggs,yogurt}","6","0.00238758"
"7028","{bottled water,chicken,frankfurter}","8","0.00318345"
"7029","{bottled water,chicken,frankfurter,pork}","5","0.00198965"
"7030","{bottled water,chicken,frozen vegetables}","8","0.00318345"
"7031","{bottled water,chicken,frozen vegetables,yogurt}","5","0.00198965"
"7032","{bottled water,chicken,fruit/vegetable juice}","11","0.00437724"
"7033","{bottled water,chicken,fruit/vegetable juice,other vegetables}","6","0.00238758"
"7034","{bottled water,chicken,fruit/vegetable juice,root vegetables}","6","0.00238758"
"7035","{bottled water,chicken,fruit/vegetable juice,whole milk}","7","0.00278552"
"7036","{bottled water,chicken,fruit/vegetable juice,whole milk,yogurt}","5","0.00198965"
"7037","{bottled water,chicken,fruit/vegetable juice,yogurt}","6","0.00238758"
"7038","{bottled water,chicken,margarine}","12","0.00477517"
"7039","{bottled water,chicken,margarine,rolls/buns}","5","0.00198965"
"7040","{bottled water,chicken,margarine,root vegetables}","6","0.00238758"
"7041","{bottled water,chicken,margarine,soda}","5","0.00198965"
"7042","{bottled water,chicken,napkins}","9","0.00358138"
"7043","{bottled water,chicken,napkins,other vegetables}","5","0.00198965"
"7044","{bottled water,chicken,napkins,whole milk}","5","0.00198965"
"7045","{bottled water,chicken,napkins,yogurt}","5","0.00198965"
"7046","{bottled water,chicken,newspapers}","11","0.00437724"
"7047","{bottled water,chicken,newspapers,rolls/buns}","5","0.00198965"
"7048","{bottled water,chicken,onions}","9","0.00358138"
"7049","{bottled water,chicken,onions,other vegetables}","5","0.00198965"
"7050","{bottled water,chicken,other vegetables}","21","0.00835655"
"7051","{bottled water,chicken,other vegetables,pork}","7","0.00278552"
"7052","{bottled water,chicken,other vegetables,pork,rolls/buns}","5","0.00198965"
"7053","{bottled water,chicken,other vegetables,rolls/buns}","9","0.00358138"
"7054","{bottled water,chicken,other vegetables,rolls/buns,root vegetables}","5","0.00198965"
"7055","{bottled water,chicken,other vegetables,root vegetables}","9","0.00358138"
"7056","{bottled water,chicken,other vegetables,root vegetables,whole milk}","5","0.00198965"
"7057","{bottled water,chicken,other vegetables,soda}","5","0.00198965"
"7058","{bottled water,chicken,other vegetables,tropical fruit}","6","0.00238758"
"7059","{bottled water,chicken,other vegetables,whipped/sour cream}","6","0.00238758"
"7060","{bottled water,chicken,other vegetables,whole milk}","8","0.00318345"
"7061","{bottled water,chicken,other vegetables,yogurt}","6","0.00238758"
"7062","{bottled water,chicken,packaged fruit/vegetables}","5","0.00198965"
"7063","{bottled water,chicken,pastry}","10","0.00397931"
"7064","{bottled water,chicken,pastry,whole milk}","8","0.00318345"
"7065","{bottled water,chicken,pickled vegetables}","6","0.00238758"
"7066","{bottled water,chicken,pip fruit}","9","0.00358138"
"7067","{bottled water,chicken,pip fruit,root vegetables}","5","0.00198965"
"7068","{bottled water,chicken,pip fruit,whole milk}","5","0.00198965"
"7069","{bottled water,chicken,pip fruit,yogurt}","5","0.00198965"
"7070","{bottled water,chicken,pork}","11","0.00437724"
"7071","{bottled water,chicken,pork,rolls/buns}","5","0.00198965"
"7072","{bottled water,chicken,pork,whole milk}","5","0.00198965"
"7073","{bottled water,chicken,rolls/buns}","18","0.00716275"
"7074","{bottled water,chicken,rolls/buns,root vegetables}","6","0.00238758"
"7075","{bottled water,chicken,rolls/buns,whole milk}","7","0.00278552"
"7076","{bottled water,chicken,rolls/buns,yogurt}","6","0.00238758"
"7077","{bottled water,chicken,root vegetables}","17","0.00676482"
"7078","{bottled water,chicken,root vegetables,soda}","5","0.00198965"
"7079","{bottled water,chicken,root vegetables,whole milk}","7","0.00278552"
"7080","{bottled water,chicken,root vegetables,yogurt}","5","0.00198965"
"7081","{bottled water,chicken,sausage}","6","0.00238758"
"7082","{bottled water,chicken,shopping bags}","6","0.00238758"
"7083","{bottled water,chicken,soda}","13","0.0051731"
"7084","{bottled water,chicken,soda,yogurt}","5","0.00198965"
"7085","{bottled water,chicken,tropical fruit}","9","0.00358138"
"7086","{bottled water,chicken,waffles}","6","0.00238758"
"7087","{bottled water,chicken,whipped/sour cream}","9","0.00358138"
"7088","{bottled water,chicken,whipped/sour cream,whole milk}","5","0.00198965"
"7089","{bottled water,chicken,whole milk}","18","0.00716275"
"7090","{bottled water,chicken,whole milk,yogurt}","7","0.00278552"
"7091","{bottled water,chicken,yogurt}","14","0.00557103"
"7092","{bottled water,chocolate}","57","0.0226821"
"7093","{bottled water,chocolate,citrus fruit}","13","0.0051731"
"7094","{bottled water,chocolate,citrus fruit,napkins}","5","0.00198965"
"7095","{bottled water,chocolate,citrus fruit,whole milk}","8","0.00318345"
"7096","{bottled water,chocolate,citrus fruit,yogurt}","8","0.00318345"
"7097","{bottled water,chocolate,coffee}","5","0.00198965"
"7098","{bottled water,chocolate,curd}","5","0.00198965"
"7099","{bottled water,chocolate,dessert}","7","0.00278552"
"7100","{bottled water,chocolate,dessert,soda}","5","0.00198965"
"7101","{bottled water,chocolate,domestic eggs}","8","0.00318345"
"7102","{bottled water,chocolate,domestic eggs,fruit/vegetable juice}","5","0.00198965"
"7103","{bottled water,chocolate,domestic eggs,white bread}","5","0.00198965"
"7104","{bottled water,chocolate,domestic eggs,yogurt}","5","0.00198965"
"7105","{bottled water,chocolate,frankfurter}","6","0.00238758"
"7106","{bottled water,chocolate,fruit/vegetable juice}","12","0.00477517"
"7107","{bottled water,chocolate,fruit/vegetable juice,onions}","5","0.00198965"
"7108","{bottled water,chocolate,fruit/vegetable juice,rolls/buns}","5","0.00198965"
"7109","{bottled water,chocolate,fruit/vegetable juice,soda}","7","0.00278552"
"7110","{bottled water,chocolate,fruit/vegetable juice,white bread}","5","0.00198965"
"7111","{bottled water,chocolate,fruit/vegetable juice,whole milk}","6","0.00238758"
"7112","{bottled water,chocolate,fruit/vegetable juice,yogurt}","7","0.00278552"
"7113","{bottled water,chocolate,grapes}","5","0.00198965"
"7114","{bottled water,chocolate,long life bakery product}","8","0.00318345"
"7115","{bottled water,chocolate,long life bakery product,other vegetables}","5","0.00198965"
"7116","{bottled water,chocolate,long life bakery product,other vegetables,whole milk}","5","0.00198965"
"7117","{bottled water,chocolate,long life bakery product,whole milk}","6","0.00238758"
"7118","{bottled water,chocolate,margarine}","6","0.00238758"
"7119","{bottled water,chocolate,napkins}","12","0.00477517"
"7120","{bottled water,chocolate,napkins,pastry}","5","0.00198965"
"7121","{bottled water,chocolate,napkins,soda}","5","0.00198965"
"7122","{bottled water,chocolate,napkins,whole milk}","6","0.00238758"
"7123","{bottled water,chocolate,napkins,yogurt}","7","0.00278552"
"7124","{bottled water,chocolate,newspapers}","6","0.00238758"
"7125","{bottled water,chocolate,newspapers,rolls/buns}","5","0.00198965"
"7126","{bottled water,chocolate,onions}","7","0.00278552"
"7127","{bottled water,chocolate,other vegetables}","17","0.00676482"
"7128","{bottled water,chocolate,other vegetables,pip fruit}","5","0.00198965"
"7129","{bottled water,chocolate,other vegetables,rolls/buns}","6","0.00238758"
"7130","{bottled water,chocolate,other vegetables,rolls/buns,soda}","5","0.00198965"
"7131","{bottled water,chocolate,other vegetables,root vegetables}","6","0.00238758"
"7132","{bottled water,chocolate,other vegetables,sausage}","6","0.00238758"
"7133","{bottled water,chocolate,other vegetables,soda}","7","0.00278552"
"7134","{bottled water,chocolate,other vegetables,tropical fruit}","8","0.00318345"
"7135","{bottled water,chocolate,other vegetables,tropical fruit,yogurt}","5","0.00198965"
"7136","{bottled water,chocolate,other vegetables,white bread}","5","0.00198965"
"7137","{bottled water,chocolate,other vegetables,whole milk}","8","0.00318345"
"7138","{bottled water,chocolate,other vegetables,yogurt}","7","0.00278552"
"7139","{bottled water,chocolate,pastry}","9","0.00358138"
"7140","{bottled water,chocolate,pastry,rolls/buns}","5","0.00198965"
"7141","{bottled water,chocolate,pastry,soda}","5","0.00198965"
"7142","{bottled water,chocolate,pip fruit}","10","0.00397931"
"7143","{bottled water,chocolate,pip fruit,tropical fruit}","5","0.00198965"
"7144","{bottled water,chocolate,pork}","6","0.00238758"
"7145","{bottled water,chocolate,red/blush wine}","6","0.00238758"
"7146","{bottled water,chocolate,rolls/buns}","20","0.00795862"
"7147","{bottled water,chocolate,rolls/buns,shopping bags}","6","0.00238758"
"7148","{bottled water,chocolate,rolls/buns,shopping bags,soda}","5","0.00198965"
"7149","{bottled water,chocolate,rolls/buns,soda}","13","0.0051731"
"7150","{bottled water,chocolate,rolls/buns,soda,yogurt}","5","0.00198965"
"7151","{bottled water,chocolate,rolls/buns,whole milk}","6","0.00238758"
"7152","{bottled water,chocolate,rolls/buns,yogurt}","8","0.00318345"
"7153","{bottled water,chocolate,root vegetables}","10","0.00397931"
"7154","{bottled water,chocolate,root vegetables,whole milk}","6","0.00238758"
"7155","{bottled water,chocolate,sausage}","6","0.00238758"
"7156","{bottled water,chocolate,semi-finished bread}","5","0.00198965"
"7157","{bottled water,chocolate,shopping bags}","11","0.00437724"
"7158","{bottled water,chocolate,shopping bags,soda}","8","0.00318345"
"7159","{bottled water,chocolate,shopping bags,yogurt}","5","0.00198965"
"7160","{bottled water,chocolate,soda}","25","0.00994827"
"7161","{bottled water,chocolate,soda,waffles}","6","0.00238758"
"7162","{bottled water,chocolate,soda,whole milk}","7","0.00278552"
"7163","{bottled water,chocolate,soda,yogurt}","9","0.00358138"
"7164","{bottled water,chocolate,specialty chocolate}","5","0.00198965"
"7165","{bottled water,chocolate,tropical fruit}","13","0.0051731"
"7166","{bottled water,chocolate,tropical fruit,whole milk}","6","0.00238758"
"7167","{bottled water,chocolate,tropical fruit,yogurt}","8","0.00318345"
"7168","{bottled water,chocolate,waffles}","11","0.00437724"
"7169","{bottled water,chocolate,whipped/sour cream}","7","0.00278552"
"7170","{bottled water,chocolate,white bread}","7","0.00278552"
"7171","{bottled water,chocolate,whole milk}","22","0.00875448"
"7172","{bottled water,chocolate,whole milk,yogurt}","7","0.00278552"
"7173","{bottled water,chocolate,yogurt}","22","0.00875448"
"7174","{bottled water,chocolate marshmallow}","12","0.00477517"
"7175","{bottled water,chocolate marshmallow,soda}","5","0.00198965"
"7176","{bottled water,chocolate marshmallow,tropical fruit}","7","0.00278552"
"7177","{bottled water,chocolate marshmallow,tropical fruit,yogurt}","5","0.00198965"
"7178","{bottled water,chocolate marshmallow,yogurt}","5","0.00198965"
"7179","{bottled water,citrus fruit}","133","0.0529248"
"7180","{bottled water,citrus fruit,coffee}","6","0.00238758"
"7181","{bottled water,citrus fruit,cream cheese }","10","0.00397931"
"7182","{bottled water,citrus fruit,cream cheese ,other vegetables}","6","0.00238758"
"7183","{bottled water,citrus fruit,cream cheese ,tropical fruit}","5","0.00198965"
"7184","{bottled water,citrus fruit,curd}","13","0.0051731"
"7185","{bottled water,citrus fruit,curd,tropical fruit}","6","0.00238758"
"7186","{bottled water,citrus fruit,curd,tropical fruit,whole milk}","5","0.00198965"
"7187","{bottled water,citrus fruit,curd,whole milk}","7","0.00278552"
"7188","{bottled water,citrus fruit,curd,yogurt}","5","0.00198965"
"7189","{bottled water,citrus fruit,dessert}","6","0.00238758"
"7190","{bottled water,citrus fruit,dessert,other vegetables}","5","0.00198965"
"7191","{bottled water,citrus fruit,domestic eggs}","16","0.00636689"
"7192","{bottled water,citrus fruit,domestic eggs,other vegetables}","7","0.00278552"
"7193","{bottled water,citrus fruit,domestic eggs,other vegetables,whole milk}","5","0.00198965"
"7194","{bottled water,citrus fruit,domestic eggs,rolls/buns}","5","0.00198965"
"7195","{bottled water,citrus fruit,domestic eggs,whole milk}","8","0.00318345"
"7196","{bottled water,citrus fruit,frankfurter}","8","0.00318345"
"7197","{bottled water,citrus fruit,frozen vegetables}","9","0.00358138"
"7198","{bottled water,citrus fruit,frozen vegetables,napkins}","5","0.00198965"
"7199","{bottled water,citrus fruit,frozen vegetables,napkins,root vegetables}","5","0.00198965"
"7200","{bottled water,citrus fruit,frozen vegetables,napkins,root vegetables,whole milk}","5","0.00198965"
"7201","{bottled water,citrus fruit,frozen vegetables,napkins,whole milk}","5","0.00198965"
"7202","{bottled water,citrus fruit,frozen vegetables,other vegetables}","6","0.00238758"
"7203","{bottled water,citrus fruit,frozen vegetables,other vegetables,root vegetables}","5","0.00198965"
"7204","{bottled water,citrus fruit,frozen vegetables,other vegetables,root vegetables,whole milk}","5","0.00198965"
"7205","{bottled water,citrus fruit,frozen vegetables,other vegetables,whole milk}","6","0.00238758"
"7206","{bottled water,citrus fruit,frozen vegetables,root vegetables}","6","0.00238758"
"7207","{bottled water,citrus fruit,frozen vegetables,root vegetables,whole milk}","6","0.00238758"
"7208","{bottled water,citrus fruit,frozen vegetables,tropical fruit}","5","0.00198965"
"7209","{bottled water,citrus fruit,frozen vegetables,whole milk}","8","0.00318345"
"7210","{bottled water,citrus fruit,fruit/vegetable juice}","20","0.00795862"
"7211","{bottled water,citrus fruit,fruit/vegetable juice,grapes}","6","0.00238758"
"7212","{bottled water,citrus fruit,fruit/vegetable juice,grapes,tropical fruit}","5","0.00198965"
"7213","{bottled water,citrus fruit,fruit/vegetable juice,napkins}","5","0.00198965"
"7214","{bottled water,citrus fruit,fruit/vegetable juice,other vegetables}","7","0.00278552"
"7215","{bottled water,citrus fruit,fruit/vegetable juice,other vegetables,whole milk}","5","0.00198965"
"7216","{bottled water,citrus fruit,fruit/vegetable juice,root vegetables}","7","0.00278552"
"7217","{bottled water,citrus fruit,fruit/vegetable juice,soda}","9","0.00358138"
"7218","{bottled water,citrus fruit,fruit/vegetable juice,tropical fruit}","8","0.00318345"
"7219","{bottled water,citrus fruit,fruit/vegetable juice,whole milk}","8","0.00318345"
"7220","{bottled water,citrus fruit,grapes}","10","0.00397931"
"7221","{bottled water,citrus fruit,grapes,tropical fruit}","7","0.00278552"
"7222","{bottled water,citrus fruit,hard cheese}","5","0.00198965"
"7223","{bottled water,citrus fruit,hard cheese,other vegetables}","5","0.00198965"
"7224","{bottled water,citrus fruit,herbs}","13","0.0051731"
"7225","{bottled water,citrus fruit,herbs,other vegetables}","9","0.00358138"
"7226","{bottled water,citrus fruit,herbs,other vegetables,root vegetables}","6","0.00238758"
"7227","{bottled water,citrus fruit,herbs,other vegetables,root vegetables,whole milk}","5","0.00198965"
"7228","{bottled water,citrus fruit,herbs,other vegetables,whole milk}","8","0.00318345"
"7229","{bottled water,citrus fruit,herbs,root vegetables}","7","0.00278552"
"7230","{bottled water,citrus fruit,herbs,root vegetables,whole milk}","6","0.00238758"
"7231","{bottled water,citrus fruit,herbs,tropical fruit}","5","0.00198965"
"7232","{bottled water,citrus fruit,herbs,tropical fruit,whole milk}","5","0.00198965"
"7233","{bottled water,citrus fruit,herbs,whole milk}","10","0.00397931"
"7234","{bottled water,citrus fruit,hygiene articles}","11","0.00437724"
"7235","{bottled water,citrus fruit,hygiene articles,other vegetables}","6","0.00238758"
"7236","{bottled water,citrus fruit,hygiene articles,other vegetables,whole milk}","6","0.00238758"
"7237","{bottled water,citrus fruit,hygiene articles,tropical fruit}","5","0.00198965"
"7238","{bottled water,citrus fruit,hygiene articles,tropical fruit,whole milk}","5","0.00198965"
"7239","{bottled water,citrus fruit,hygiene articles,whole milk}","8","0.00318345"
"7240","{bottled water,citrus fruit,long life bakery product}","8","0.00318345"
"7241","{bottled water,citrus fruit,long life bakery product,other vegetables}","5","0.00198965"
"7242","{bottled water,citrus fruit,margarine}","11","0.00437724"
"7243","{bottled water,citrus fruit,margarine,rolls/buns}","5","0.00198965"
"7244","{bottled water,citrus fruit,margarine,yogurt}","6","0.00238758"
"7245","{bottled water,citrus fruit,meat}","6","0.00238758"
"7246","{bottled water,citrus fruit,misc. beverages}","6","0.00238758"
"7247","{bottled water,citrus fruit,napkins}","18","0.00716275"
"7248","{bottled water,citrus fruit,napkins,other vegetables}","8","0.00318345"
"7249","{bottled water,citrus fruit,napkins,other vegetables,root vegetables}","5","0.00198965"
"7250","{bottled water,citrus fruit,napkins,other vegetables,root vegetables,whole milk}","5","0.00198965"
"7251","{bottled water,citrus fruit,napkins,other vegetables,whole milk}","7","0.00278552"
"7252","{bottled water,citrus fruit,napkins,pip fruit}","6","0.00238758"
"7253","{bottled water,citrus fruit,napkins,root vegetables}","10","0.00397931"
"7254","{bottled water,citrus fruit,napkins,root vegetables,tropical fruit}","5","0.00198965"
"7255","{bottled water,citrus fruit,napkins,root vegetables,whole milk}","7","0.00278552"
"7256","{bottled water,citrus fruit,napkins,tropical fruit}","8","0.00318345"
"7257","{bottled water,citrus fruit,napkins,tropical fruit,whole milk}","5","0.00198965"
"7258","{bottled water,citrus fruit,napkins,whole milk}","10","0.00397931"
"7259","{bottled water,citrus fruit,napkins,yogurt}","6","0.00238758"
"7260","{bottled water,citrus fruit,newspapers}","15","0.00596896"
"7261","{bottled water,citrus fruit,newspapers,other vegetables}","6","0.00238758"
"7262","{bottled water,citrus fruit,newspapers,tropical fruit}","7","0.00278552"
"7263","{bottled water,citrus fruit,newspapers,whole milk}","7","0.00278552"
"7264","{bottled water,citrus fruit,oil}","9","0.00358138"
"7265","{bottled water,citrus fruit,oil,whole milk}","6","0.00238758"
"7266","{bottled water,citrus fruit,onions}","14","0.00557103"
"7267","{bottled water,citrus fruit,onions,other vegetables}","10","0.00397931"
"7268","{bottled water,citrus fruit,onions,other vegetables,whole milk}","5","0.00198965"
"7269","{bottled water,citrus fruit,onions,whole milk}","5","0.00198965"
"7270","{bottled water,citrus fruit,other vegetables}","50","0.0198965"
"7271","{bottled water,citrus fruit,other vegetables,pip fruit}","8","0.00318345"
"7272","{bottled water,citrus fruit,other vegetables,pip fruit,whole milk}","7","0.00278552"
"7273","{bottled water,citrus fruit,other vegetables,pork}","6","0.00238758"
"7274","{bottled water,citrus fruit,other vegetables,processed cheese}","5","0.00198965"
"7275","{bottled water,citrus fruit,other vegetables,rolls/buns}","10","0.00397931"
"7276","{bottled water,citrus fruit,other vegetables,rolls/buns,sausage}","5","0.00198965"
"7277","{bottled water,citrus fruit,other vegetables,root vegetables}","18","0.00716275"
"7278","{bottled water,citrus fruit,other vegetables,root vegetables,tropical fruit}","7","0.00278552"
"7279","{bottled water,citrus fruit,other vegetables,root vegetables,tropical fruit,whole milk}","7","0.00278552"
"7280","{bottled water,citrus fruit,other vegetables,root vegetables,whole milk}","13","0.0051731"
"7281","{bottled water,citrus fruit,other vegetables,root vegetables,yogurt}","5","0.00198965"
"7282","{bottled water,citrus fruit,other vegetables,sausage}","10","0.00397931"
"7283","{bottled water,citrus fruit,other vegetables,sausage,whole milk}","5","0.00198965"
"7284","{bottled water,citrus fruit,other vegetables,soda}","5","0.00198965"
"7285","{bottled water,citrus fruit,other vegetables,tropical fruit}","15","0.00596896"
"7286","{bottled water,citrus fruit,other vegetables,tropical fruit,whole milk}","13","0.0051731"
"7287","{bottled water,citrus fruit,other vegetables,tropical fruit,whole milk,yogurt}","6","0.00238758"
"7288","{bottled water,citrus fruit,other vegetables,tropical fruit,yogurt}","6","0.00238758"
"7289","{bottled water,citrus fruit,other vegetables,whipped/sour cream}","8","0.00318345"
"7290","{bottled water,citrus fruit,other vegetables,whipped/sour cream,whole milk}","6","0.00238758"
"7291","{bottled water,citrus fruit,other vegetables,whole milk}","29","0.01154"
"7292","{bottled water,citrus fruit,other vegetables,whole milk,yogurt}","10","0.00397931"
"7293","{bottled water,citrus fruit,other vegetables,yogurt}","16","0.00636689"
"7294","{bottled water,citrus fruit,pastry}","11","0.00437724"
"7295","{bottled water,citrus fruit,pastry,tropical fruit}","5","0.00198965"
"7296","{bottled water,citrus fruit,pastry,whole milk}","7","0.00278552"
"7297","{bottled water,citrus fruit,pickled vegetables}","7","0.00278552"
"7298","{bottled water,citrus fruit,pip fruit}","22","0.00875448"
"7299","{bottled water,citrus fruit,pip fruit,root vegetables}","7","0.00278552"
"7300","{bottled water,citrus fruit,pip fruit,root vegetables,whole milk}","6","0.00238758"
"7301","{bottled water,citrus fruit,pip fruit,tropical fruit}","8","0.00318345"
"7302","{bottled water,citrus fruit,pip fruit,whole milk}","11","0.00437724"
"7303","{bottled water,citrus fruit,pip fruit,yogurt}","5","0.00198965"
"7304","{bottled water,citrus fruit,pork}","11","0.00437724"
"7305","{bottled water,citrus fruit,pork,root vegetables}","6","0.00238758"
"7306","{bottled water,citrus fruit,pork,whole milk}","5","0.00198965"
"7307","{bottled water,citrus fruit,processed cheese}","5","0.00198965"
"7308","{bottled water,citrus fruit,red/blush wine}","6","0.00238758"
"7309","{bottled water,citrus fruit,rice}","5","0.00198965"
"7310","{bottled water,citrus fruit,rice,whole milk}","5","0.00198965"
"7311","{bottled water,citrus fruit,rolls/buns}","31","0.0123359"
"7312","{bottled water,citrus fruit,rolls/buns,sausage}","6","0.00238758"
"7313","{bottled water,citrus fruit,rolls/buns,soda}","7","0.00278552"
"7314","{bottled water,citrus fruit,rolls/buns,tropical fruit}","6","0.00238758"
"7315","{bottled water,citrus fruit,rolls/buns,whole milk}","13","0.0051731"
"7316","{bottled water,citrus fruit,rolls/buns,yogurt}","13","0.0051731"
"7317","{bottled water,citrus fruit,root vegetables}","33","0.0131317"
"7318","{bottled water,citrus fruit,root vegetables,tropical fruit}","12","0.00477517"
"7319","{bottled water,citrus fruit,root vegetables,tropical fruit,whole milk}","8","0.00318345"
"7320","{bottled water,citrus fruit,root vegetables,tropical fruit,yogurt}","5","0.00198965"
"7321","{bottled water,citrus fruit,root vegetables,whole milk}","20","0.00795862"
"7322","{bottled water,citrus fruit,root vegetables,whole milk,yogurt}","6","0.00238758"
"7323","{bottled water,citrus fruit,root vegetables,yogurt}","9","0.00358138"
"7324","{bottled water,citrus fruit,sausage}","20","0.00795862"
"7325","{bottled water,citrus fruit,sausage,soda}","7","0.00278552"
"7326","{bottled water,citrus fruit,sausage,tropical fruit}","5","0.00198965"
"7327","{bottled water,citrus fruit,sausage,whole milk}","9","0.00358138"
"7328","{bottled water,citrus fruit,sausage,yogurt}","7","0.00278552"
"7329","{bottled water,citrus fruit,shopping bags}","10","0.00397931"
"7330","{bottled water,citrus fruit,shopping bags,yogurt}","6","0.00238758"
"7331","{bottled water,citrus fruit,sliced cheese}","8","0.00318345"
"7332","{bottled water,citrus fruit,soda}","27","0.0107441"
"7333","{bottled water,citrus fruit,soda,tropical fruit}","9","0.00358138"
"7334","{bottled water,citrus fruit,soda,whole milk}","7","0.00278552"
"7335","{bottled water,citrus fruit,soda,yogurt}","8","0.00318345"
"7336","{bottled water,citrus fruit,specialty cheese}","5","0.00198965"
"7337","{bottled water,citrus fruit,specialty chocolate}","7","0.00278552"
"7338","{bottled water,citrus fruit,sugar}","7","0.00278552"
"7339","{bottled water,citrus fruit,sugar,whole milk}","5","0.00198965"
"7340","{bottled water,citrus fruit,tropical fruit}","41","0.0163152"
"7341","{bottled water,citrus fruit,tropical fruit,whole milk}","22","0.00875448"
"7342","{bottled water,citrus fruit,tropical fruit,whole milk,yogurt}","9","0.00358138"
"7343","{bottled water,citrus fruit,tropical fruit,yogurt}","16","0.00636689"
"7344","{bottled water,citrus fruit,turkey}","5","0.00198965"
"7345","{bottled water,citrus fruit,waffles}","7","0.00278552"
"7346","{bottled water,citrus fruit,whipped/sour cream}","14","0.00557103"
"7347","{bottled water,citrus fruit,whipped/sour cream,whole milk}","10","0.00397931"
